trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
61,0,61,0,160.40231249999852,161.4012290999999,161.4178396999996,up,1,0.6246194999985164,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
62,0,62,0,162.0506079000006,163.04983340000035,163.06636399999843,down,1,0.6127463999982865,-5,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
63,0,63,0,163.68253379999805,164.68150650000098,164.68150650000098,up,1,0.6253378999972483,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
64,0,64,0,165.33093430000008,166.3301137999988,166.34667659999832,up,1,0.6974197000017739,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
65,0,65,0,167.04593609999938,168.04504630000156,168.04504630000156,up,1,0.7355705999980273,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
66,0,66,0,168.81107849999898,169.81005619999996,169.8268891000007,up,1,0.6643033000000287,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
67,0,67,0,170.49279540000134,171.49220720000085,171.49220720000085,down,1,0.6931336999987252,-4,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
68,0,68,0,172.20791299999837,173.20691670000087,173.22367269999813,up,1,0.8738326999991841,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
69,0,69,0,174.10592520000137,175.10536489999868,175.10536489999868,down,1,0.5878955999978643,-5,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
70,0,70,0,175.72112090000155,176.7203922000008,176.7203922000008,down,1,0.664173999997729,4,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
71,0,71,0,177.40314450000005,178.40229669999826,178.41884809999829,up,0,0.6444720999970741,1,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
72,0,72,0,179.0690269000006,180.06715650000115,180.08399469999858,up,0,0.689799599997059,1,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
73,0,73,0,180.78323439999804,181.78262249999898,181.78262249999898,up,1,0.7032011999981478,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
74,0,74,0,182.5145811000002,183.51421950000076,183.51421950000076,down,1,0.8371642999991309,-2,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
75,0,75,0,184.38003019999815,185.3791158999993,185.3957378999985,down,0,0.5182471999978588,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
76,0,76,0,185.92832540000018,186.92751280000084,186.92751280000084,up,1,0.6905698999980814,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
77,0,77,0,187.6434765999984,188.64269309999872,188.64269309999872,down,1,1.3694614000014553,-5,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
78,0,78,0,190.0413096000011,191.04045079999923,191.04045079999923,down,0,0.6555343999971228,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
79,0,79,0,191.72297849999813,192.72226379999847,192.72226379999847,up,1,0.8690256000008958,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
80,0,80,0,193.62128279999888,194.62052910000057,194.63724379999985,down,1,0.6817679999985558,4,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
81,0,81,0,195.31965339999806,196.31880570000067,196.31880570000067,down,1,0.7503471999953035,2,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
82,0,82,0,197.10144740000032,198.1004842000002,198.11730499999976,down,0,1.0151481999964744,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
83,0,83,0,199.13272439999855,200.1319755000004,200.1319755000004,up,1,0.684929099999863,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
84,0,84,0,200.84809459999815,201.8469202999986,201.86377250000078,up,1,0.8880984999959765,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
85,0,85,0,202.76296359999833,203.76195780000126,203.77872489999936,up,1,1.1860697999982222,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
86,0,86,0,204.9775626999981,205.97664870000153,205.99338160000116,down,1,0.39191529999880004,3,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
87,0,87,0,206.39263089999804,207.3917533999993,207.3917533999993,down,1,0.7439059999960591,-3,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
88,0,88,0,208.15771210000094,209.15700669999933,209.15700669999933,down,0,0.5585230999968189,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
89,0,89,0,209.73955859999842,210.73884389999876,210.73884389999876,up,1,0.5452944999960891,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
90,0,90,0,211.30479660000128,212.30397200000152,212.30397200000152,down,1,0.8126220999984071,-4,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
91,0,91,0,213.13635179999983,214.13599890000114,214.13599890000114,down,1,0.5171330999983184,-5,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
92,0,92,0,214.6851992999982,215.68415119999918,215.70084779999888,up,1,0.7750040999999328,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
93,0,93,0,216.48328179999953,217.4826385999986,217.4826385999986,down,1,0.5081334999995306,4,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
94,0,94,0,218.01546400000007,219.01449199999843,219.03125010000076,down,1,0.8166926999983843,2,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
95,0,95,0,219.86364569999932,220.86261809999996,220.8795222000008,up,1,0.7374219999983325,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
96,0,96,0,221.62876880000113,222.62793059999967,222.6446102000009,up,1,0.7045645999969565,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
97,0,97,0,223.3604439999981,224.35940990000017,224.37618210000073,down,1,0.9805797999979404,-5,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
98,0,98,0,225.35857039999973,226.3576463999998,226.37430120000136,up,1,0.9276714000006905,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
99,0,99,0,227.30638049999834,228.30591849999837,228.30591849999837,down,1,0.9143507999979192,-4,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
