trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
134,0,134,0,5,337.71470890000637,337.71470890000637,0.013250899995910004,[0.27870370370370373],[-0.1259259259259259],[1],[0],[0],[2.165923099993961],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
135,0,135,0,10,339.9148669999995,339.9148669999995,0.025921299995388836,[-0.24537037037037038],[-0.12777777777777777],[1],[0],[0],[1.3693598999961978],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
136,0,136,0,10,341.31229699999676,341.31229699999676,0.026459900007466786,[-0.45185185185185184],[-0.09351851851851851],[1],[0],[0],[2.1517511999991257],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
137,0,137,0,5,343.4782864000008,343.4782864000008,0.013279399994644336,[-0.020370370370370372],[-0.45740740740740743],[1],[0],[0],[3.1471848000073805],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
138,0,138,0,5,346.64084710000316,346.64084710000316,0.013488099997630343,[0.1935185185185185],[0.4324074074074074],[1],[0],[0],[1.5989445000013802],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
139,0,139,0,10,348.27407949999906,348.27407949999906,0.027304099989123642,[-0.20462962962962963],[0.020370370370370372],[1],[0],[0],[2.0176530000026105],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
140,0,140,0,10,350.32168579999416,350.32168579999416,0.028045699989888817,[0.4222222222222222],[0.35648148148148145],[1],[0],[0],[1.618055800005095],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
141,0,141,0,10,351.9706031999958,351.9706031999958,0.0271950000023935,[-0.48055555555555557],[0.34629629629629627],[1],[0],[0],[2.3676830000040354],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
142,0,142,0,5,354.35036240000045,354.35036240000045,0.014085899994825013,[-0.4638888888888889],[0.14814814814814814],[1],[0],[0],[1.3152123999898322],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
143,0,143,0,10,355.6992781000008,355.6992781000008,0.026568600005703047,[-0.12129629629629629],[0.1787037037037037],[1],[0],[0],[1.5193157000030624],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
144,0,144,0,10,357.2516922000068,357.2516922000068,0.030834100005449727,[-0.42407407407407405],[-0.18611111111111112],[1],[0],[0],[1.5970938000100432],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
145,0,145,0,5,358.8618235000031,358.8618235000031,0.013954599999124184,[-0.14351851851851852],[0.12962962962962962],[1],[0],[0],[1.2826021000073524],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
146,0,146,0,10,360.18046040000627,360.18046040000627,0.028843599997344427,[-0.2064814814814815],[0.023148148148148147],[1],[0],[0],[1.3666358000045875],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
